id, runtime, darcy_flux, temperature, voltage, amperage, heating_time, buildup_time, rotate
md10, 5000, 57.6, 25, 170, 2, 1800, 2, 0
md11, 5000, 57.6, 25, 170, 2.25, 1800, 2, 0
md12, 5000, 57.6, 25, 170, 2.5, 1800, 2, 0
md13, 5000, 57.6, 25, 170, 2.75, 1800, 2, 0
md14, 5000, 57.6, 25, 170, 3.0, 1800, 2, 0
md15, 5000, 57.6, 25, 170, 3.25, 1800, 2, 0
md16, 5000, 57.6, 25, 170, 3.5, 1800, 2, 0
md17, 5000, 0.0, 25, 170, 2, 1800, 2, 0
md18, 5000, 0.0, 25, 170, 2.25, 1800, 2, 0
md19, 5000, 0.0, 25, 170, 2.5, 1800, 2, 0
md20, 5000, 0.0, 25, 170, 2.75, 1800, 2, 0
md21, 5000, 0.0, 25, 170, 3.0, 1800, 2, 0
md22, 5000, 0.0, 25, 170, 3.25, 1800, 2, 0
md23, 5000, 0.0, 25, 170, 3.5, 1800, 2, 0
