{
FlexPDE Version 8.01n/W64  12:40:33 Mar  4 2025
File: md9.pde  10:41:40 10/19/25
Title: md9
Output: temp
 Time 5000
<temp(0.0034,0)> 	<temp(2.0819e-19,0.0034)> 	<temp(-0.0034,4.1638e-19)> 	<temp(-6.2457e-19,-0.0034)> 	<Time> 
}
  25	  25	  25	  25	   0.0000000000
  25.000065272	  25.000064562	  25.000064515	  25.000064873	   0.0039062500
  25.00006542	  25.000064707	  25.00006466	  25.000065019	   0.0052845547
  25.000065589	  25.000064875	  25.000064828	  25.000065188	   0.0068698502
  25.000065777	  25.000065061	  25.000065014	  25.000065374	   0.0086209278
  25.000066012	  25.000065294	  25.000065246	  25.000065608	   0.0108097749
  25.000066307	  25.000065586	  25.000065538	  25.000065901	   0.0135458338
  25.000066676	  25.000065952	  25.000065903	  25.000066269	   0.0169659074
  25.000067141	  25.000066412	  25.000066363	  25.00006673	   0.0212409994
  25.000067724	  25.00006699	  25.00006694	  25.000067311	   0.0265848643
  25.000068459	  25.000067718	  25.000067667	  25.000068041	   0.0332646956
  25.000069369	  25.000068619	  25.000068567	  25.000068946	   0.0414689192
  25.000070418	  25.000069658	  25.000069604	  25.000069989	   0.0508275825
  25.000071616	  25.000070844	  25.000070789	  25.00007118	   0.0613948886
  25.000072973	  25.000072188	  25.000072132	  25.00007253	   0.0732239772
  25.000074504	  25.000073705	  25.000073646	  25.000074052	   0.0863855823
  25.000076223	  25.000075408	  25.000075347	  25.000075762	   0.1009561153
  25.000078148	  25.000077316	  25.000077252	  25.000077677	   0.1170124946
  25.000080323	  25.00007947	  25.000079404	  25.000079839	   0.1348422323
  25.000082799	  25.000081924	  25.000081854	  25.000082302	   0.1547811118
  25.000085638	  25.000084737	  25.000084663	  25.000085126	   0.1771912921
  25.000088907	  25.000087977	  25.000087899	  25.000088378	   0.2024627029
  25.000092685	  25.000091722	  25.000091638	  25.000092136	   0.2310177715
  25.000097061	  25.00009606	  25.000095969	  25.000096489	   0.2633184708
  25.000102138	  25.000101093	  25.000100995	  25.00010154	   0.2998749008
  25.00010804	  25.000106945	  25.000106837	  25.000107412	   0.3412548944
  25.000114944	  25.000113786	  25.000113661	  25.000114275	   0.3880949425
  25.000123187	  25.000121942	  25.000121782	  25.000122456	   0.4411130501
  25.000133652	  25.000132261	  25.000132017	  25.000132802	   0.5011242568
  25.000148907	  25.000147225	  25.000146767	  25.000147793	   0.5690588724
  25.000176304	  25.000173986	  25.000173006	  25.000174578	   0.6459823886
  25.000235557	  25.000231836	  25.000229647	  25.00023244	   0.7331152512
  25.000375468	  25.000368748	  25.000363946	  25.000369346	   0.8318492444
  25.000708046	  25.000695225	  25.000685135	  25.00069579	   0.9437561081
  25.001471938	  25.001447354	  25.001427213	  25.001447857	   1.0705851269
  25.003139643	  25.003093572	  25.003055435	  25.003094011	   1.2142501000
  25.006582792	  25.006499421	  25.006430854	  25.006499907	   1.3768143184
  25.013309376	  25.013164224	  25.013046869	  25.013165171	   1.5604909553
  25.025770199	  25.025526889	  25.02533517	  25.02552964	   1.7676797125
  25.047868976	  25.047474129	  25.047173862	  25.047482774	   2.0022297431
  25.082274572	  25.081669211	  25.081229092	  25.081693524	   2.2492925485
  25.132887669	  25.131997766	  25.131386872	  25.132059215	   2.5098300058
  25.204574549	  25.203302737	  25.202492468	  25.20344536	   2.7865978533
  25.303089819	  25.301303716	  25.300271876	  25.301612341	   3.0824245171
  25.431103644	  25.428639682	  25.427382083	  25.429256621	   3.3915194756
  25.590263166	  25.586917021	  25.585449277	  25.588059436	   3.7104142381
  25.78437117	  25.779868938	  25.77822349	  25.781858699	   4.0419284221
  26.018032577	  26.012003802	  26.010229619	  26.015302027	   4.3896288195
  26.293093979	  26.285065207	  26.283225305	  26.29028575	   4.7530851141
  26.612269173	  26.601634817	  26.599795071	  26.609568219	   5.1340121623
  26.97716719	  26.963174556	  26.961386685	  26.974789735	   5.5333858735
  27.387720503	  27.369465597	  27.36774298	  27.385887488	   5.9512262474
  27.854900241	  27.831177376	  27.82946146	  27.853814015	   6.3988052086
  28.374889829	  28.344317487	  28.342430711	  28.374654729	   6.8730518425
  28.94815307	  28.909109407	  28.906703222	  28.948697655	   7.3762642252
  29.572581675	  29.523221306	  29.519722341	  29.573552533	   7.9093498542
  30.254543369	  30.192616022	  30.187142908	  30.255175066	   8.4812007484
  31.039555199	  30.961452364	  30.952503933	  31.038321023	   9.1339679015
  32.077960268	  31.975522824	  31.959682648	  32.070962488	   10.000000000
  32.916586871	  32.791897337	  32.768390809	  32.901549469	   10.708272530
  33.811908612	  33.660651284	  33.626716654	  33.78420734	   11.479728763
  34.745857445	  34.563445321	  34.516048425	  34.699669161	   12.307417891
  35.709998146	  35.491268391	  35.427158345	  35.638240564	   13.192465527
  36.684511446	  36.424208432	  36.340332047	  36.579392835	   14.124532014
  37.689660499	  37.380675083	  37.273517241	  37.541427834	   15.131477592
  38.723370292	  38.357419712	  38.223494843	  38.520882982	   16.221692120
  39.753848158	  39.32340767	  39.16027249	  39.486747803	   17.370159905
  40.806456306	  40.30154842	  40.106383526	  40.462236999	   18.613638185
  41.909070969	  41.316362881	  41.085776156	  41.472097701	   20.000000000
  42.888047331	  42.208741805	  41.945492098	  42.358695494	   21.309861604
  43.857579734	  43.084593473	  42.788236205	  43.228025836	   22.686815361
  44.808158348	  43.936028545	  43.606773062	  44.072720268	   24.120361434
  45.738972848	  44.763312697	  44.401645093	  44.893410703	   25.611122502
  46.647616522	  45.565429831	  45.172085025	  45.68934901	   27.156810968
  47.527308958	  46.337605955	  45.913650261	  46.455954535	   28.746253351
  48.184935682	  46.912452582	  46.46567977	  47.026968063	   30.000000000
  48.999372772	  47.62223417	  47.147297722	  47.732439194	   31.636745596
  49.807013773	  48.324398566	  47.821632649	  48.430820853	   33.360235894
  50.588634011	  49.002912688	  48.473295463	  49.106138256	   35.133839124
  51.347398563	  49.66113581	  49.105513593	  49.761679692	   36.966300498
  52.082833145	  50.299134052	  49.718351641	  50.397454831	   38.858799169
  52.503890582	  50.664542496	  50.069371993	  50.761754406	   40.000000000
  53.196586212	  51.266157656	  50.64733835	  51.36177574	   41.977100755
  53.845587525	  51.830531851	  51.189581593	  51.924900717	   43.954201509
  54.502889915	  52.402984262	  51.739652983	  52.496313821	   46.096112567
  55.153348508	  52.970451979	  52.28501789	  53.062962265	   48.373329930
  55.589308869	  53.351390141	  52.651175435	  53.443464638	   50.000000000
  56.181481259	  53.86962322	  53.149389138	  53.961237261	   52.354755336
  56.806570189	  54.417673879	  53.676399338	  54.508954798	   55.047598412
  57.429906534	  54.965227205	  54.203090211	  55.056323476	   57.982652778
  57.825695713	  55.313451137	  54.53814284	  55.404505791	   60.000000000
  58.393382795	  55.813605778	  55.019524359	  55.904691919	   63.136190353
  58.992920835	  56.342647744	  55.528911597	  56.433874645	   66.818069549
  59.458174532	  56.753761187	  55.92491145	  56.845170677	   70.000000000
  60.044377854	  57.27236588	  56.424658595	  57.364086201	   74.513599697
  60.655808934	  57.813929788	  56.946782621	  57.906059087	   80.000000000
  61.185381026	  58.283465767	  57.399687521	  58.376016514	   85.641999622
  61.534642005	  58.593350884	  57.698713218	  58.686210407	   90.000000000
  62.006552407	  59.012268332	  58.103081453	  59.105570576	   96.998234371
  62.178664862	  59.165092793	  58.250638555	  59.258569072	   100.00000000
  62.577528997	  59.519365959	  58.592764833	  59.613247466	   108.22659801
  62.938068043	  59.839599569	  58.902139486	  59.933919991	   117.94947080
  63.251388742	  60.117228258	  59.169189055	  60.210779378	   129.57285087
  63.497143621	  60.336062646	  59.38131718	  60.430580749	   143.04736689
  63.676908129	  60.496016232	  59.536211966	  60.591081262	   158.46889833
  63.798525448	  60.604166175	  59.640817847	  60.699470245	   176.03398227
  63.885498185	  60.681447784	  59.71551247	  60.776881851	   200.00000000
  63.918170952	  60.710482471	  59.743539287	  60.805908875	   220.03570605
  63.935033418	  60.725488209	  59.758031062	  60.820903125	   244.01122432
  63.941847752	  60.731523905	  59.763848599	  60.826893066	   272.18055034
  63.943140635	  60.732690503	  59.764969242	  60.828051833	   300.00000000
  63.94280885	  60.732417155	  59.764708637	  60.827786483	   332.79940289
  63.94217343	  60.731855496	  59.764169225	  60.827224285	   370.95149236
  63.941826946	  60.731553195	  59.763875746	  60.826920968	   400.00000000
  63.941577361	  60.731334292	  59.763663092	  60.826700776	   443.92128268
  63.941490176	  60.731254859	  59.763587029	  60.82662189	   500.00000000
  63.941487144	  60.731250603	  59.763582319	  60.82661738	   550.39173261
  63.941494688	  60.731256374	  59.76358759	  60.826622925	   600.00000000
  63.941497005	  60.731257339	  59.763588672	  60.826624234	   658.70127951
  63.941501865	  60.731263689	  59.763595388	  60.826630516	   700.00000000
  63.941510239	  60.731272237	  59.763604085	  60.826638998	   768.15652781
  63.941512719	  60.731274914	  59.763606866	  60.826641759	   800.00000000
  63.941519871	  60.731280226	  59.763611957	  60.826647034	   878.48841725
  63.941518954	  60.731280638	  59.7636124	  60.826647437	   900.00000000
  63.941514421	  60.73127533	  59.763606892	  60.826642706	   1000.0000000
  63.941510219	  60.731270468	  59.763601979	  60.826637823	   1088.9720325
  63.941508271	  60.731270042	  59.763601837	  60.826637092	   1199.8830068
  63.941510168	  60.731271857	  59.763603561	  60.826638863	   1332.1416693
  63.941511051	  60.731272651	  59.76360435	  60.826639575	   1497.4649975
  63.941510893	  60.731272066	  59.763603733	  60.826639147	   1704.1191578
  63.793764988	  60.593310095	  59.628805752	  60.688272659	   1789.6663704
  63.384548896	  60.193473304	  59.231737198	  60.284552451	   1795.5857757
  63.209606518	  60.022160082	  59.061326125	  60.111474986	   1797.1996315
  62.937270931	  59.754398533	  58.794767999	  59.841227622	   1798.8134873
  62.317431387	  59.143417455	  58.185804295	  59.224366732	   1800.8308070
  61.734153076	  58.568208242	  57.612292022	  58.643296077	   1802.0602885
  60.962777464	  57.807884131	  56.854311081	  57.874680779	   1803.2897699
  59.738851852	  56.603616052	  55.654515291	  56.655881674	   1804.8266218
  57.904239494	  54.804643411	  53.86559341	  54.833332603	   1806.7476866
  56.193294851	  53.135184978	  52.209577791	  53.14106678	   1808.3762282
  54.444223143	  51.438280991	  50.531771913	  51.421741058	   1810.0047697
  52.322553434	  49.396467733	  48.522041013	  49.356925226	   1812.0404467
  49.872584371	  47.066907218	  46.24313665	  47.010542172	   1814.5850429
  47.168235008	  44.53920087	  43.787824633	  44.479143092	   1817.7657882
  44.29107953	  41.909414257	  41.249785728	  41.860573751	   1821.7417198
  41.314848247	  39.254739002	  38.698630119	  39.226105642	   1826.7116343
  38.310025989	  36.628217257	  36.178184232	  36.61889965	   1832.9240274
  35.363452015	  34.077763428	  33.729628069	  34.080260971	   1840.6895188
  32.591707993	  31.674121629	  31.419186984	  31.680150378	   1850.3963830
  30.860016756	  30.160246451	  29.962693838	  30.165713297	   1858.5362228
  29.531045442	  28.988680067	  28.835031318	  28.993216352	   1866.6760625
  28.282771955	  27.881708308	  27.768517262	  27.885158418	   1876.8508622
  27.182329667	  26.903030017	  26.824771932	  26.905802255	   1889.5693618
  26.42971633	  26.23300133	  26.175908469	  26.233234073	   1902.6092471
  25.955502225	  25.810979074	  25.769231501	  25.811764516	   1914.9919510
  25.650109399	  25.539271504	  25.506813245	  25.540005228	   1926.9424024
  25.444931077	  25.356774513	  25.330255697	  25.357164164	   1938.8928538
  25.306749596	  25.234003326	  25.211661399	  25.234327247	   1950.8433053
  25.213818295	  25.151436528	  25.131898116	  25.151697612	   1962.7937567
  25.148629315	  25.093492287	  25.075873478	  25.093645849	   1975.3475329
  25.103388585	  25.053259505	  25.036950376	  25.053304724	   1988.6613080
  25.078022111	  25.030725541	  25.015206594	  25.030771635	   2000.0000000
  25.056903773	  25.011940897	  24.997025821	  25.011931625	   2014.3507692
  25.042746397	  24.999341133	  24.984841015	  24.999309666	   2029.9843626
  25.033751479	  24.991344621	  24.977112812	  24.991303745	   2046.9486564
  25.028402076	  24.986594592	  24.972524083	  24.986548802	   2065.2069807
  25.025440441	  24.983962315	  24.969979252	  24.983911201	   2084.7651326
  25.023922478	  24.982614686	  24.968677768	  24.982565399	   2105.6328350
  25.023221636	  24.981989955	  24.968074135	  24.98194042	   2127.8266601
  25.022943087	  24.981739998	  24.967830974	  24.981687614	   2151.3668104
  25.022856001	  24.981662057	  24.967757765	  24.98161103	   2176.2987310
  25.022843703	  24.981653599	  24.967751854	  24.98160566	   2202.6796576
  25.022857512	  24.98166436	  24.967760201	  24.981613946	   2230.5847799
  25.022870656	  24.98167444	  24.967768951	  24.98162324	   2260.0291378
  25.022878396	  24.98168025	  24.967774613	  24.981628803	   2291.0871337
  25.022885438	  24.981682622	  24.967778037	  24.981632436	   2323.8511414
  25.022885852	  24.981690574	  24.967785843	  24.981640311	   2358.4085253
  25.022889819	  24.981690511	  24.967787767	  24.981644781	   2394.7386295
  25.022890981	  24.981688605	  24.967787227	  24.98164587	   2432.8706754
  25.022887003	  24.981682529	  24.967781787	  24.981642087	   2472.8176931
  25.022873481	  24.981668771	  24.967768176	  24.981628494	   2514.2769899
  25.022863781	  24.981662786	  24.967760689	  24.981618429	   2557.6292562
  25.022863955	  24.981666829	  24.967763241	  24.981618356	   2603.2810188
  25.022873166	  24.981678524	  24.967773588	  24.981626827	   2651.1374740
  25.022886013	  24.981692741	  24.967785953	  24.981637281	   2700.7211175
  25.022895854	  24.981699467	  24.967793968	  24.981647603	   2753.1495385
  25.022898777	  24.981700607	  24.967795548	  24.981650448	   2812.8194638
  25.022895835	  24.981696952	  24.967792111	  24.98164746	   2878.6283857
  25.022891648	  24.981693287	  24.967788552	  24.981643634	   2951.1110582
  25.022890264	  24.981692345	  24.967787681	  24.981642537	   3000.0000000
  25.022890512	  24.981692991	  24.96778821	  24.981642885	   3087.6113063
  25.022891558	  24.981693896	  24.967789068	  24.98164381	   3192.9050648
  25.022891828	  24.981694004	  24.967789175	  24.981643994	   3324.5222629
  25.022891606	  24.981693798	  24.967788981	  24.981643789	   3489.0437605
  25.022891516	  24.981693743	  24.967788929	  24.981643723	   3694.6956325
  25.022891545	  24.981693769	  24.967788953	  24.98164375	   4000.0000000
  25.022891555	  24.981693775	  24.967788958	  24.981643757	   4257.0648400
  25.022891553	  24.981693773	  24.967788957	  24.981643755	   4578.3958901
  25.022891552	  24.981693773	  24.967788956	  24.981643754	   5000.0000000
