FlexPDE Version 8.01n/W64  12:40:33 Mar  4 2025  Time:09:38:12 10/19/25  Microsoft Windows [Version 10.0.26100.6584]
Format:
 +   wall | charged | 
 +  clock |   CPU   | ...progress data...).

START C:\Users\nieboer\gitclones\FusionFiber\modelling\nozzlefiber\md3.pde  09:38:12 10/19/25
 +    0:01|     0:01| Mesh Generation Complete 
 +    0:01|     0:01| Mesh dump written to C:\Users\nieboer\gitclones\FusionFiber\modelling\nozzlefiber\md3_initialmesh.xfr 
 +    0:01|     0:01|  8 Threads  Cubic (3)  speed  
 +    0:10|     0:44| STEP FAILED at Dt= 0.500000. RETRY at Dt= 0.250000
 +    0:18|     1:30| STEP FAILED at Dt= 0.250000. RETRY at Dt= 0.125000
 +    0:27|     2:18| STEP FAILED at Dt= 0.125000. RETRY at Dt= 0.062500
 +    0:35|     3:01| STEP FAILED at Dt= 0.062500. RETRY at Dt= 0.031250
 +    0:43|     3:48| STEP FAILED at Dt= 0.031250. RETRY at Dt= 0.015625
 +    0:50|     4:26| STEP FAILED at Dt= 0.015625. RETRY at Dt= 0.007813
 +    0:57|     5:05| STEP FAILED at Dt= 0.007813. RETRY at Dt= 0.003906
 +    1:04|     5:42| Step 2 Time= 0.007813 Dt= 0.002594 Nodes=10583 Cells=21084 DOF=94999 RMS ERR= 2.576e-6 MAX ERR= 7.217e-6 TIME ERR(V1 )= 0.004536 Lanczos/DInv=(339) MEM(KiB)=266597
 +    1:06|     5:49| Step 3 Time= 0.010406 Dt= 0.002594 Nodes=10583 Cells=21084 DOF=94999 RMS ERR= 4.314e-6 MAX ERR= 1.215e-5 TIME ERR(V1 )= 2.112e-4 Lanczos/DInv=(122) MEM(KiB)=266601
 +    1:08|     6:02| Step 4 Time= 0.013392 Dt= 0.002985 Nodes=10583 Cells=21084 DOF=94999 RMS ERR= 6.319e-6 MAX ERR= 1.785e-5 TIME ERR(V1 )= 5.304e-4 Lanczos/DInv=(375) MEM(KiB)=266601
 +    1:10|     6:09| Step 5 Time= 0.016612 Dt= 0.003220 Nodes=10583 Cells=21084 DOF=94999 RMS ERR= 8.482e-6 MAX ERR= 2.398e-5 TIME ERR(V1 )= 1.128e-5 Lanczos/DInv=(124) MEM(KiB)=266601
 +    1:11|     6:17| Step 6 Time= 0.020637 Dt= 0.004025 Nodes=10583 Cells=21084 DOF=94999 RMS ERR= 1.118e-5 MAX ERR= 3.165e-5 TIME ERR(V1 )= 1.844e-5 Lanczos/DInv=(162) MEM(KiB)=266601
 +    1:13|     6:24| Step 7 Time= 0.025668 Dt= 0.005031 Nodes=10583 Cells=21084 DOF=94999 RMS ERR= 1.455e-5 MAX ERR= 4.123e-5 TIME ERR(V1 )= 4.511e-5 Lanczos/DInv=(96) MEM(KiB)=266601
 +    1:14|     6:33| Step 8 Time= 0.031958 Dt= 0.006289 Nodes=10583 Cells=21084 DOF=94999 RMS ERR= 1.876e-5 MAX ERR= 5.318e-5 TIME ERR(V1 )= 7.601e-5 Lanczos/DInv=(131) MEM(KiB)=266601
 +    1:16|     6:41| Step 9 Time= 0.039819 Dt= 0.007862 Nodes=10583 Cells=21084 DOF=94999 RMS ERR= 2.401e-5 MAX ERR= 6.808e-5 TIME ERR(V1 )= 1.163e-4 Lanczos/DInv=(151) MEM(KiB)=266601
 +    1:17|     6:48| Step 10 Time= 0.049646 Dt= 0.009827 Nodes=10583 Cells=21084 DOF=94999 RMS ERR= 3.054e-5 MAX ERR= 8.668e-5 TIME ERR(V1 )= 1.717e-4 Lanczos/DInv=(124) MEM(KiB)=266602
 +    1:19|     6:56| Step 11 Time= 0.061670 Dt= 0.012023 Nodes=10583 Cells=21084 DOF=94999 RMS ERR= 3.851e-5 MAX ERR= 1.094e-4 TIME ERR(V1 )= 2.363e-4 Lanczos/DInv=(152) MEM(KiB)=266602
 +    1:20|     7:05| Step 12 Time= 0.075390 Dt= 0.013720 Nodes=10583 Cells=21084 DOF=94999 RMS ERR= 4.756e-5 MAX ERR= 1.351e-4 TIME ERR(V1 )= 2.706e-4 Lanczos/DInv=(158) MEM(KiB)=266602
 +    1:22|     7:13| Step 13 Time= 0.090891 Dt= 0.015501 Nodes=10583 Cells=21084 DOF=94999 RMS ERR= 5.773e-5 MAX ERR= 1.642e-4 TIME ERR(V1 )= 3.040e-4 Lanczos/DInv=(158) MEM(KiB)=266602
 +    1:23|     7:22| Step 14 Time= 0.108256 Dt= 0.017366 Nodes=10583 Cells=21084 DOF=94999 RMS ERR= 6.905e-5 MAX ERR= 1.965e-4 TIME ERR(V1 )= 3.304e-4 Lanczos/DInv=(190) MEM(KiB)=266602
 +    1:25|     7:31| Step 15 Time= 0.127596 Dt= 0.019340 Nodes=10583 Cells=21084 DOF=94999 RMS ERR= 8.158e-5 MAX ERR= 2.324e-4 TIME ERR(V1 )= 3.547e-4 Lanczos/DInv=(180) MEM(KiB)=266602
 +    1:27|     7:41| Step 16 Time= 0.149029 Dt= 0.021433 Nodes=10583 Cells=21084 DOF=94999 RMS ERR= 9.537e-5 MAX ERR= 2.718e-4 TIME ERR(V1 )= 3.161e-4 Lanczos/DInv=(265) MEM(KiB)=266602
 +    1:29|     7:52| Step 17 Time= 0.172974 Dt= 0.023945 Nodes=10583 Cells=21084 DOF=94999 RMS ERR= 1.107e-4 MAX ERR= 3.157e-4 TIME ERR(V1 )= 2.875e-4 Lanczos/DInv=(289) MEM(KiB)=266602
 +    1:31|     8:01| Step 18 Time= 0.199907 Dt= 0.026933 Nodes=10583 Cells=21084 DOF=94999 RMS ERR= 1.277e-4 MAX ERR= 3.647e-4 TIME ERR(V1 )= 2.693e-4 Lanczos/DInv=(250) MEM(KiB)=266602
