id, runtime, darcy_flux, porosity, bulk_conductivity, temperature, voltage, length, heating_time, buildup_time, rotate, bool_heat1, bool_heat2, bool_heat3, bool_heat4
#gw01, 5000, 0.0, 0.41, 1.6, 20, 230, 64, 1800, 2, 0, 1, 1, 1, 1
#gw02, 5000, 0.5, 0.41, 1.6, 20, 230, 64, 1800, 2, 0, 1, 1, 1, 1
#gw03, 5000, 1.0, 0.41, 1.6, 20, 230, 64, 1800, 2, 0, 1, 1, 1, 1
#gw04, 5000, 1.5, 0.41, 1.6, 20, 230, 64, 1800, 2, 0, 1, 1, 1, 1
#gw05, 5000, 2.0, 0.41, 1.6, 20, 230, 64, 1800, 2, 0, 1, 1, 1, 1
#gw06, 5000, 2.5, 0.41, 1.6, 20, 230, 64, 1800, 2, 0, 1, 1, 1, 1
#gw07, 5000, 3.0, 0.41, 1.6, 20, 230, 64, 1800, 2, 0, 1, 1, 1, 1
#gw08, 5000, 3.5, 0.41, 1.6, 20, 230, 64, 1800, 2, 0, 1, 1, 1, 1
#gw09, 5000, 4.0, 0.41, 1.6, 20, 230, 64, 1800, 2, 0, 1, 1, 1, 1
#gw10, 5000, 4.5, 0.41, 1.6, 20, 230, 64, 1800, 2, 0, 1, 1, 1, 1
#gw11, 5000, 5.0, 0.41, 1.6, 20, 230, 64, 1800, 2, 0, 1, 1, 1, 1
#gw12, 5000, 5.5, 0.41, 1.6, 20, 230, 64, 1800, 2, 0, 1, 1, 1, 1
#gw13, 5000, 6.0, 0.41, 1.6, 20, 230, 64, 1800, 2, 0, 1, 1, 1, 1
#gw14, 5000, 6.5, 0.41, 1.6, 20, 230, 64, 1800, 2, 0, 1, 1, 1, 1
#gw15, 5000, 7.0, 0.41, 1.6, 20, 230, 64, 1800, 2, 0, 1, 1, 1, 1
#gw16, 5000, 7.5, 0.41, 1.6, 20, 230, 64, 1800, 2, 0, 1, 1, 1, 1
#gw17, 5000, 8.0, 0.41, 1.6, 20, 230, 64, 1800, 2, 0, 1, 1, 1, 1
#gw18, 5000, 8.5, 0.41, 1.6, 20, 230, 64, 1800, 2, 0, 1, 1, 1, 1
#gw19, 5000, 9.0, 0.41, 1.6, 20, 230, 64, 1800, 2, 0, 1, 1, 1, 1
#gw20, 5000, 9.5, 0.41, 1.6, 20, 230, 64, 1800, 2, 0, 1, 1, 1, 1
#gw21, 5000, 10.0, 0.41, 1.6, 20, 230, 64, 1800, 2, 0, 1, 1, 1, 1
#gw22, 5000, 10.5, 0.41, 1.6, 20, 230, 64, 1800, 2, 0, 1, 1, 1, 1
#gw23, 5000, 11.0, 0.41, 1.6, 20, 230, 64, 1800, 2, 0, 1, 1, 1, 1
#gw24, 5000, 11.5, 0.41, 1.6, 20, 230, 64, 1800, 2, 0, 1, 1, 1, 1
#gw25, 5000, 12.0, 0.41, 1.6, 20, 230, 64, 1800, 2, 0, 1, 1, 1, 1
#gw26, 5000, 12.5, 0.41, 1.6, 20, 230, 64, 1800, 2, 0, 1, 1, 1, 1
#gw27, 5000, 13.0, 0.41, 1.6, 20, 230, 64, 1800, 2, 0, 1, 1, 1, 1
#gw28, 5000, 13.5, 0.41, 1.6, 20, 230, 64, 1800, 2, 0, 1, 1, 1, 1
#gw29, 5000, 14.0, 0.41, 1.6, 20, 230, 64, 1800, 2, 0, 1, 1, 1, 1
#gw30, 5000, 14.5, 0.41, 1.6, 20, 230, 64, 1800, 2, 0, 1, 1, 1, 1
#gw31, 5000, 15.0, 0.41, 1.6, 20, 230, 64, 1800, 2, 0, 1, 1, 1, 1
#gw32, 5000, 15.5, 0.41, 1.6, 20, 230, 64, 1800, 2, 0, 1, 1, 1, 1
#gw33, 5000, 16.0, 0.41, 1.6, 20, 230, 64, 1800, 2, 0, 1, 1, 1, 1
#gw34, 5000, 16.5, 0.41, 1.6, 20, 230, 64, 1800, 2, 0, 1, 1, 1, 1
